,WHO_REGION,TOTAL_VACCINATIONS,FIRST_VACCINE_DATE,PERSONS_BOOSTER_ADD_DOSE
182,AFRO,2469499.0,2/23/2021,591916.0
183,EURO,6717622.0,12/23/2020,0.0
184,AFRO,218360.0,1/10/2021,44156.0
185,AFRO,4956371.0,3/15/2021,76881.0
186,WPRO,14727569.0,12/30/2020,4440289.0
188,AMRO,65515.0,2/22/2021,9069.0
189,EURO,7199439.0,12/23/2020,1684576.0
190,EURO,3017550.0,12/23/2020,655614.0
191,WPRO,551421.0,3/23/2021,17469.0
193,AFRO,37873660.0,2/17/2021,3811768.0
195,EURO,108666828.0,12/30/2020,26198760.0
196,SEARO,40116590.0,1/29/2021,8220002.0
197,EMRO,11735049.0,3/9/2021,492817.0
198,AMRO,554588.0,2/23/2021,48889.0
199,EURO,22969617.0,12/23/2020,5540319.0
200,EURO,16397741.0,12/23/2020,4643237.0
201,EMRO,4777586.0,4/1/2021,75881.0
202,EURO,15441380.0,3/24/2021,4951036.0
203,SEARO,137976764.0,2/28/2021,26676099.0
205,SEARO,1890101.0,4/7/2021,258263.0
206,AFRO,3384742.0,3/10/2021,427431.0
207,WPRO,4924.0,7/20/2021,968.0
208,WPRO,203117.0,4/14/2021,38137.0
209,AMRO,1582784.0,2/17/2021,169131.0
210,EMRO,13155275.0,3/13/2021,1251293.0
212,EURO,13514000.0,2/24/2021,3340000.0
213,AMRO,72837.0,1/11/2021,7272.0
214,WPRO,25591.0,4/13/2021,5528.0
215,AFRO,25783131.0,3/10/2021,431349.0
216,EURO,31668577.0,2/24/2021,741197.0
219,AMRO,638658949.0,12/14/2020,111533299.0
220,AMRO,8745972.0,2/27/2021,2064726.0
221,EURO,70696770.0,4/28/2021,14528732.0
222,WPRO,292146.0,6/2/2021,16556.0
223,AMRO,37860994.0,2/22/2021,651502.0
224,WPRO,262184598.0,3/8/2021,56731860.0
225,WPRO,16782.0,3/19/2021,3201.0
226,EMRO,1149321.0,4/20/2021,55725.0
227,AFRO,13192461.0,4/14/2021,980801.0
228,AFRO,12694853.0,2/18/2021,1208580.0
